unit,cycle,actual_rul,predicted_rul,prediction_error,absolute_error,risk_band_key,risk_band
41,123,18.0,63.61814682539682,-45.61814682539682,45.61814682539682,3,LOWER PRIORITY
42,156,10.0,23.21719841269842,-13.21719841269842,13.21719841269842,1,PRIORITY REVIEW
43,172,59.0,64.48817328042331,-5.488173280423311,5.488173280423311,3,LOWER PRIORITY
44,54,109.0,139.44222751322766,-30.442227513227664,30.442227513227664,3,LOWER PRIORITY
45,152,114.0,69.01327248677245,44.98672751322755,44.98672751322755,3,LOWER PRIORITY
46,146,47.0,48.49526851851853,-1.4952685185185288,1.4952685185185288,2,MONITOR
47,73,135.0,115.10430086580085,19.89569913419915,19.89569913419915,3,LOWER PRIORITY
48,78,92.0,121.63871428571433,-29.63871428571433,29.63871428571433,3,LOWER PRIORITY
49,303,21.0,18.734046296296285,2.2659537037037154,2.2659537037037154,1,PRIORITY REVIEW
50,74,79.0,121.05481361231357,-42.054813612313566,42.054813612313566,3,LOWER PRIORITY
51,144,114.0,81.4189722222222,32.581027777777805,32.581027777777805,3,LOWER PRIORITY
52,189,29.0,29.76178643578643,-0.7617864357864299,0.7617864357864299,1,PRIORITY REVIEW
53,164,26.0,34.45399206349207,-8.453992063492073,8.453992063492073,2,MONITOR
54,121,97.0,134.64241402116397,-37.64241402116397,37.64241402116397,3,LOWER PRIORITY
55,113,137.0,124.86165476190475,12.138345238095255,12.138345238095255,3,LOWER PRIORITY
56,136,15.0,13.173420634920637,1.826579365079363,1.826579365079363,1,PRIORITY REVIEW
57,160,103.0,80.68332671957677,22.31667328042323,22.31667328042323,3,LOWER PRIORITY
58,176,37.0,51.00787698412701,-14.007876984127009,14.007876984127009,2,MONITOR
59,94,114.0,153.53257142857132,-39.532571428571316,39.532571428571316,3,LOWER PRIORITY
60,147,100.0,88.0722817460317,11.927718253968294,11.927718253968294,3,LOWER PRIORITY
61,159,21.0,47.8024126984127,-26.802412698412702,26.802412698412702,2,MONITOR
62,232,54.0,60.268687830687824,-6.268687830687824,6.268687830687824,3,LOWER PRIORITY
63,155,72.0,57.29849206349205,14.701507936507952,14.701507936507952,2,MONITOR
64,168,28.0,45.85957936507936,-17.859579365079362,17.859579365079362,2,MONITOR
65,71,128.0,153.96292183742187,-25.962921837421874,25.962921837421874,3,LOWER PRIORITY
66,147,14.0,16.045234126984134,-2.045234126984134,2.045234126984134,1,PRIORITY REVIEW
67,71,77.0,143.4846428571429,-66.48464285714289,66.48464285714289,3,LOWER PRIORITY
68,187,8.0,18.35471969696969,-10.354719696969688,10.354719696969688,1,PRIORITY REVIEW
69,54,121.0,142.98169384319382,-21.981693843193824,21.981693843193824,3,LOWER PRIORITY
70,152,94.0,79.60207539682537,14.39792460317463,14.39792460317463,3,LOWER PRIORITY
71,68,118.0,154.4539828042329,-36.45398280423291,36.45398280423291,3,LOWER PRIORITY
72,131,50.0,67.13692231842232,-17.13692231842232,17.13692231842232,3,LOWER PRIORITY
73,112,131.0,144.37072546897542,-13.370725468975422,13.370725468975422,3,LOWER PRIORITY
74,137,126.0,85.42736507936507,40.572634920634925,40.572634920634925,3,LOWER PRIORITY
75,88,113.0,121.52697486772486,-8.52697486772486,8.52697486772486,3,LOWER PRIORITY
76,205,10.0,13.69528571428571,-3.69528571428571,3.69528571428571,1,PRIORITY REVIEW
77,162,34.0,29.60044312169312,4.399556878306878,4.399556878306878,1,PRIORITY REVIEW
78,72,107.0,161.35507010582015,-54.35507010582015,54.35507010582015,3,LOWER PRIORITY
79,101,63.0,93.1194404761905,-30.119440476190505,30.119440476190505,3,LOWER PRIORITY
80,133,90.0,77.46473015873013,12.535269841269866,12.535269841269866,3,LOWER PRIORITY
81,213,8.0,7.183964285714287,0.8160357142857126,0.8160357142857126,1,PRIORITY REVIEW
82,162,9.0,9.081101250601256,-0.08110125060125561,0.08110125060125561,1,PRIORITY REVIEW
83,73,137.0,126.2934381914383,10.706561808561702,10.706561808561702,3,LOWER PRIORITY
84,172,58.0,49.64257539682539,8.357424603174607,8.357424603174607,2,MONITOR
85,34,118.0,172.4773928571429,-54.47739285714289,54.47739285714289,3,LOWER PRIORITY
86,110,89.0,76.45821560846562,12.541784391534378,12.541784391534378,3,LOWER PRIORITY
87,56,116.0,147.82504761904775,-31.82504761904775,31.82504761904775,3,LOWER PRIORITY
88,68,115.0,137.0990238095238,-22.0990238095238,22.0990238095238,3,LOWER PRIORITY
89,177,136.0,105.03196164021165,30.968038359788352,30.968038359788352,3,LOWER PRIORITY
90,146,28.0,41.756697089947096,-13.756697089947096,13.756697089947096,2,MONITOR
91,234,38.0,29.382683862433854,8.617316137566146,8.617316137566146,1,PRIORITY REVIEW
92,150,20.0,21.53145105820107,-1.5314510582010712,1.5314510582010712,1,PRIORITY REVIEW
93,244,85.0,53.063523809523815,31.936476190476185,31.936476190476185,2,MONITOR
94,133,55.0,49.28197089947087,5.7180291005291295,5.7180291005291295,2,MONITOR
95,89,128.0,133.59172222222222,-5.5917222222222165,5.5917222222222165,3,LOWER PRIORITY
96,97,137.0,146.03644841269838,-9.036448412698377,9.036448412698377,3,LOWER PRIORITY
97,134,82.0,80.75068121693123,1.249318783068773,1.249318783068773,3,LOWER PRIORITY
98,121,59.0,78.53913756613757,-19.53913756613757,19.53913756613757,3,LOWER PRIORITY
99,97,117.0,136.28907997557997,-19.289079975579966,19.289079975579966,3,LOWER PRIORITY
100,198,20.0,16.395652116402125,3.6043478835978746,3.6043478835978746,1,PRIORITY REVIEW
